dataset	primary	processed	tier	status	nevents	nfiles	size_TB	created
/TT4B_TuneCP5_13p6TeV_madgraph-pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v3/NANOAODSIM	TT4B_TuneCP5_13p6TeV_madgraph-pythia8	RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v3	NANOAODSIM	VALID	9898300	34	0.043	2025-03-27
/TTHH-HHto4B_TuneCP5_13p6TeV_madgraph-pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v3/NANOAODSIM	TTHH-HHto4B_TuneCP5_13p6TeV_madgraph-pythia8	RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v3	NANOAODSIM	VALID	9999300	32	0.053	2025-03-28
/TTHH-TTto2L2Nu-HHto2B2Tau_TuneCP5_13p6TeV_madgraph-pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v2/NANOAODSIM	TTHH-TTto2L2Nu-HHto2B2Tau_TuneCP5_13p6TeV_madgraph-pythia8	RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v2	NANOAODSIM	VALID	999000	30	0.005	2026-03-11
/ADD-monojet_Par-N-2-MD-10000_TuneCP5_13p6TeV_pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v2/NANOAODSIM	ADD-monojet_Par-N-2-MD-10000_TuneCP5_13p6TeV_pythia8	RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v2	NANOAODSIM	-	-	-	-	-
/ADD-monojet_Par-N-2-MD-11000_TuneCP5_13p6TeV_pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v2/NANOAODSIM	ADD-monojet_Par-N-2-MD-11000_TuneCP5_13p6TeV_pythia8	RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v2	NANOAODSIM	-	-	-	-	-
/ADD-monojet_Par-N-2-MD-12000_TuneCP5_13p6TeV_pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v2/NANOAODSIM	ADD-monojet_Par-N-2-MD-12000_TuneCP5_13p6TeV_pythia8	RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v2	NANOAODSIM	-	-	-	-	-
/ADD-monojet_Par-N-2-MD-13000_TuneCP5_13p6TeV_pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v2/NANOAODSIM	ADD-monojet_Par-N-2-MD-13000_TuneCP5_13p6TeV_pythia8	RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v2	NANOAODSIM	-	-	-	-	-
/ADD-monojet_Par-N-2-MD-14000_TuneCP5_13p6TeV_pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v2/NANOAODSIM	ADD-monojet_Par-N-2-MD-14000_TuneCP5_13p6TeV_pythia8	RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v2	NANOAODSIM	-	-	-	-	-
/ADD-monojet_Par-N-2-MD-15000_TuneCP5_13p6TeV_pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v2/NANOAODSIM	ADD-monojet_Par-N-2-MD-15000_TuneCP5_13p6TeV_pythia8	RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v2	NANOAODSIM	-	-	-	-	-
/ADD-monojet_Par-N-2-MD-16000_TuneCP5_13p6TeV_pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v2/NANOAODSIM	ADD-monojet_Par-N-2-MD-16000_TuneCP5_13p6TeV_pythia8	RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v2	NANOAODSIM	-	-	-	-	-
