# label=2016B1_v9_Data
# source=root://cms-xrd-global.cern.ch//store/data/Run2016B/JetHT/NANOAOD/ver1_HIPM_UL2016_MiniAODv2_NanoAODv9-v2/2430000/877D2E27-E1EB-6244-BBCC-1730058E95A4.root
# columns: tree	branch	type	lenVar
Events	CaloMET_phi	Float_t	
Events	CaloMET_pt	Float_t	
Events	CaloMET_sumEt	Float_t	
Events	ChsMET_phi	Float_t	
Events	ChsMET_pt	Float_t	
Events	ChsMET_sumEt	Float_t	
Events	CorrT1METJet_area	Float_t	nCorrT1METJet
Events	CorrT1METJet_eta	Float_t	nCorrT1METJet
Events	CorrT1METJet_muonSubtrFactor	Float_t	nCorrT1METJet
Events	CorrT1METJet_phi	Float_t	nCorrT1METJet
Events	CorrT1METJet_rawPt	Float_t	nCorrT1METJet
Events	DeepMETResolutionTune_phi	Float_t	
Events	DeepMETResolutionTune_pt	Float_t	
Events	DeepMETResponseTune_phi	Float_t	
Events	DeepMETResponseTune_pt	Float_t	
Events	Electron_charge	Int_t	nElectron
Events	Electron_cleanmask	UChar_t	nElectron
Events	Electron_convVeto	Bool_t	nElectron
Events	Electron_cutBased	Int_t	nElectron
Events	Electron_cutBased_HEEP	Bool_t	nElectron
Events	Electron_dEscaleDown	Float_t	nElectron
Events	Electron_dEscaleUp	Float_t	nElectron
Events	Electron_dEsigmaDown	Float_t	nElectron
Events	Electron_dEsigmaUp	Float_t	nElectron
Events	Electron_deltaEtaSC	Float_t	nElectron
Events	Electron_dr03EcalRecHitSumEt	Float_t	nElectron
Events	Electron_dr03HcalDepth1TowerSumEt	Float_t	nElectron
Events	Electron_dr03TkSumPt	Float_t	nElectron
Events	Electron_dr03TkSumPtHEEP	Float_t	nElectron
Events	Electron_dxy	Float_t	nElectron
Events	Electron_dxyErr	Float_t	nElectron
Events	Electron_dz	Float_t	nElectron
Events	Electron_dzErr	Float_t	nElectron
Events	Electron_eCorr	Float_t	nElectron
Events	Electron_eInvMinusPInv	Float_t	nElectron
Events	Electron_energyErr	Float_t	nElectron
Events	Electron_eta	Float_t	nElectron
Events	Electron_hoe	Float_t	nElectron
Events	Electron_ip3d	Float_t	nElectron
Events	Electron_isPFcand	Bool_t	nElectron
Events	Electron_jetIdx	Int_t	nElectron
Events	Electron_jetNDauCharged	UChar_t	nElectron
Events	Electron_jetPtRelv2	Float_t	nElectron
Events	Electron_jetRelIso	Float_t	nElectron
Events	Electron_lostHits	UChar_t	nElectron
Events	Electron_mass	Float_t	nElectron
Events	Electron_miniPFRelIso_all	Float_t	nElectron
Events	Electron_miniPFRelIso_chg	Float_t	nElectron
Events	Electron_mvaFall17V2Iso	Float_t	nElectron
Events	Electron_mvaFall17V2Iso_WP80	Bool_t	nElectron
Events	Electron_mvaFall17V2Iso_WP90	Bool_t	nElectron
Events	Electron_mvaFall17V2Iso_WPL	Bool_t	nElectron
Events	Electron_mvaFall17V2noIso	Float_t	nElectron
Events	Electron_mvaFall17V2noIso_WP80	Bool_t	nElectron
Events	Electron_mvaFall17V2noIso_WP90	Bool_t	nElectron
Events	Electron_mvaFall17V2noIso_WPL	Bool_t	nElectron
Events	Electron_mvaTTH	Float_t	nElectron
Events	Electron_pdgId	Int_t	nElectron
Events	Electron_pfRelIso03_all	Float_t	nElectron
Events	Electron_pfRelIso03_chg	Float_t	nElectron
Events	Electron_phi	Float_t	nElectron
Events	Electron_photonIdx	Int_t	nElectron
Events	Electron_pt	Float_t	nElectron
Events	Electron_r9	Float_t	nElectron
Events	Electron_scEtOverPt	Float_t	nElectron
Events	Electron_seedGain	UChar_t	nElectron
Events	Electron_sieie	Float_t	nElectron
Events	Electron_sip3d	Float_t	nElectron
Events	Electron_tightCharge	Int_t	nElectron
Events	Electron_vidNestedWPBitmap	Int_t	nElectron
Events	Electron_vidNestedWPBitmapHEEP	Int_t	nElectron
Events	FatJet_area	Float_t	nFatJet
Events	FatJet_btagCSVV2	Float_t	nFatJet
Events	FatJet_btagDDBvLV2	Float_t	nFatJet
Events	FatJet_btagDDCvBV2	Float_t	nFatJet
Events	FatJet_btagDDCvLV2	Float_t	nFatJet
Events	FatJet_btagDeepB	Float_t	nFatJet
Events	FatJet_btagHbb	Float_t	nFatJet
Events	FatJet_deepTagMD_H4qvsQCD	Float_t	nFatJet
Events	FatJet_deepTagMD_HbbvsQCD	Float_t	nFatJet
Events	FatJet_deepTagMD_TvsQCD	Float_t	nFatJet
Events	FatJet_deepTagMD_WvsQCD	Float_t	nFatJet
Events	FatJet_deepTagMD_ZHbbvsQCD	Float_t	nFatJet
Events	FatJet_deepTagMD_ZHccvsQCD	Float_t	nFatJet
Events	FatJet_deepTagMD_ZbbvsQCD	Float_t	nFatJet
Events	FatJet_deepTagMD_ZvsQCD	Float_t	nFatJet
Events	FatJet_deepTagMD_bbvsLight	Float_t	nFatJet
Events	FatJet_deepTagMD_ccvsLight	Float_t	nFatJet
Events	FatJet_deepTag_H	Float_t	nFatJet
Events	FatJet_deepTag_QCD	Float_t	nFatJet
Events	FatJet_deepTag_QCDothers	Float_t	nFatJet
Events	FatJet_deepTag_TvsQCD	Float_t	nFatJet
Events	FatJet_deepTag_WvsQCD	Float_t	nFatJet
Events	FatJet_deepTag_ZvsQCD	Float_t	nFatJet
Events	FatJet_electronIdx3SJ	Int_t	nFatJet
Events	FatJet_eta	Float_t	nFatJet
Events	FatJet_jetId	Int_t	nFatJet
Events	FatJet_lsf3	Float_t	nFatJet
Events	FatJet_mass	Float_t	nFatJet
Events	FatJet_msoftdrop	Float_t	nFatJet
Events	FatJet_muonIdx3SJ	Int_t	nFatJet
Events	FatJet_n2b1	Float_t	nFatJet
Events	FatJet_n3b1	Float_t	nFatJet
Events	FatJet_nConstituents	UChar_t	nFatJet
Events	FatJet_particleNetMD_QCD	Float_t	nFatJet
Events	FatJet_particleNetMD_Xbb	Float_t	nFatJet
Events	FatJet_particleNetMD_Xcc	Float_t	nFatJet
Events	FatJet_particleNetMD_Xqq	Float_t	nFatJet
Events	FatJet_particleNet_H4qvsQCD	Float_t	nFatJet
Events	FatJet_particleNet_HbbvsQCD	Float_t	nFatJet
Events	FatJet_particleNet_HccvsQCD	Float_t	nFatJet
Events	FatJet_particleNet_QCD	Float_t	nFatJet
Events	FatJet_particleNet_TvsQCD	Float_t	nFatJet
Events	FatJet_particleNet_WvsQCD	Float_t	nFatJet
Events	FatJet_particleNet_ZvsQCD	Float_t	nFatJet
Events	FatJet_particleNet_mass	Float_t	nFatJet
Events	FatJet_phi	Float_t	nFatJet
Events	FatJet_pt	Float_t	nFatJet
Events	FatJet_rawFactor	Float_t	nFatJet
Events	FatJet_subJetIdx1	Int_t	nFatJet
Events	FatJet_subJetIdx2	Int_t	nFatJet
Events	FatJet_tau1	Float_t	nFatJet
Events	FatJet_tau2	Float_t	nFatJet
Events	FatJet_tau3	Float_t	nFatJet
Events	FatJet_tau4	Float_t	nFatJet
Events	Flag_BadChargedCandidateFilter	Bool_t	
Events	Flag_BadChargedCandidateFilter_pRECO	Bool_t	
Events	Flag_BadChargedCandidateSummer16Filter	Bool_t	
Events	Flag_BadChargedCandidateSummer16Filter_pRECO	Bool_t	
Events	Flag_BadPFMuonDzFilter	Bool_t	
Events	Flag_BadPFMuonFilter	Bool_t	
Events	Flag_BadPFMuonFilter_pRECO	Bool_t	
Events	Flag_BadPFMuonSummer16Filter	Bool_t	
Events	Flag_BadPFMuonSummer16Filter_pRECO	Bool_t	
Events	Flag_CSCTightHalo2015Filter	Bool_t	
Events	Flag_CSCTightHalo2015Filter_pRECO	Bool_t	
Events	Flag_CSCTightHaloFilter	Bool_t	
Events	Flag_CSCTightHaloFilter_pRECO	Bool_t	
Events	Flag_CSCTightHaloTrkMuUnvetoFilter	Bool_t	
Events	Flag_CSCTightHaloTrkMuUnvetoFilter_pRECO	Bool_t	
Events	Flag_EcalDeadCellBoundaryEnergyFilter	Bool_t	
Events	Flag_EcalDeadCellBoundaryEnergyFilter_pRECO	Bool_t	
Events	Flag_EcalDeadCellTriggerPrimitiveFilter	Bool_t	
Events	Flag_EcalDeadCellTriggerPrimitiveFilter_pRECO	Bool_t	
Events	Flag_HBHENoiseFilter	Bool_t	
Events	Flag_HBHENoiseFilter_pRECO	Bool_t	
Events	Flag_HBHENoiseIsoFilter	Bool_t	
Events	Flag_HBHENoiseIsoFilter_pRECO	Bool_t	
Events	Flag_HcalStripHaloFilter	Bool_t	
Events	Flag_HcalStripHaloFilter_pRECO	Bool_t	
Events	Flag_METFilters	Bool_t	
Events	Flag_METFilters_pRECO	Bool_t	
Events	Flag_chargedHadronTrackResolutionFilter	Bool_t	
Events	Flag_chargedHadronTrackResolutionFilter_pRECO	Bool_t	
Events	Flag_ecalBadCalibFilter	Bool_t	
Events	Flag_ecalBadCalibFilter_pRECO	Bool_t	
Events	Flag_ecalLaserCorrFilter	Bool_t	
Events	Flag_ecalLaserCorrFilter_pRECO	Bool_t	
Events	Flag_eeBadScFilter	Bool_t	
Events	Flag_eeBadScFilter_pRECO	Bool_t	
Events	Flag_globalSuperTightHalo2016Filter	Bool_t	
Events	Flag_globalSuperTightHalo2016Filter_pRECO	Bool_t	
Events	Flag_globalTightHalo2016Filter	Bool_t	
Events	Flag_globalTightHalo2016Filter_pRECO	Bool_t	
Events	Flag_goodVertices	Bool_t	
Events	Flag_goodVertices_pRECO	Bool_t	
Events	Flag_hcalLaserEventFilter	Bool_t	
Events	Flag_hcalLaserEventFilter_pRECO	Bool_t	
Events	Flag_hfNoisyHitsFilter	Bool_t	
Events	Flag_muonBadTrackFilter	Bool_t	
Events	Flag_muonBadTrackFilter_pRECO	Bool_t	
