# label=2017UL_v15_MC
# source=/tmp/nano_v15_local.root
# columns: tree	branch	type	lenVar
Events	BeamSpot_sigmaZ	Float_t	
Events	BeamSpot_sigmaZError	Float_t	
Events	BeamSpot_type	Short_t	
Events	BeamSpot_z	Float_t	
Events	BeamSpot_zError	Float_t	
Events	CaloMET_phi	Float_t	
Events	CaloMET_pt	Float_t	
Events	CaloMET_sumEt	Float_t	
Events	CorrT1METJet_EmEF	Float_t	nCorrT1METJet
Events	CorrT1METJet_area	Float_t	nCorrT1METJet
Events	CorrT1METJet_eta	Float_t	nCorrT1METJet
Events	CorrT1METJet_muonSubtrDeltaEta	Float_t	nCorrT1METJet
Events	CorrT1METJet_muonSubtrDeltaPhi	Float_t	nCorrT1METJet
Events	CorrT1METJet_muonSubtrFactor	Float_t	nCorrT1METJet
Events	CorrT1METJet_phi	Float_t	nCorrT1METJet
Events	CorrT1METJet_rawMass	Float_t	nCorrT1METJet
Events	CorrT1METJet_rawPt	Float_t	nCorrT1METJet
Events	DST_CaloJet40_BTagScouting	Bool_t	
Events	DST_CaloJet40_CaloBTagScouting	Bool_t	
Events	DST_CaloJet40_CaloScouting_PFScouting	Bool_t	
Events	DST_DoubleMu3_noVtx_CaloScouting	Bool_t	
Events	DST_DoubleMu3_noVtx_CaloScouting_Monitoring	Bool_t	
Events	DST_HT250_CaloBTagScouting	Bool_t	
Events	DST_HT250_CaloScouting	Bool_t	
Events	DST_HT410_BTagScouting	Bool_t	
Events	DST_HT410_PFScouting	Bool_t	
Events	DST_L1DoubleMu_BTagScouting	Bool_t	
Events	DST_L1DoubleMu_CaloScouting_PFScouting	Bool_t	
Events	DST_L1HTT_BTagScouting	Bool_t	
Events	DST_L1HTT_CaloBTagScouting	Bool_t	
Events	DST_L1HTT_CaloScouting_PFScouting	Bool_t	
Events	DST_ZeroBias_BTagScouting	Bool_t	
Events	DST_ZeroBias_CaloScouting_PFScouting	Bool_t	
Events	DeepMETResolutionTune_phi	Float_t	
Events	DeepMETResolutionTune_pt	Float_t	
Events	DeepMETResponseTune_phi	Float_t	
Events	DeepMETResponseTune_pt	Float_t	
Events	Electron_IPx	Float_t	nElectron
Events	Electron_IPy	Float_t	nElectron
Events	Electron_IPz	Float_t	nElectron
Events	Electron_PreshowerEnergy	Float_t	nElectron
Events	Electron_charge	Int_t	nElectron
Events	Electron_convVeto	Bool_t	nElectron
